Year,Term,Course Code,Course Title,Status,Credits,Prerequisites,Course Type,Description
Third,Second,0714 02 CSE 3202,Artificial Intelligence Laboratory/Project/Fieldwork,Core,1.0,None,Sessional,Artificial Intelligence Laboratory/Project/Fieldwork (0714 02 CSE 3202): Sessional course with 1.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3204,Technical Writing and Presentation,Core,1.0,None,Sessional,Technical Writing and Presentation (0714 02 CSE 3204): Sessional course with 1.0 credits. Prerequisite: None.
Third,Second,0714 02 ECE 3251,Electrical Drives and Instrumentation,Core,3.0,None,Theory,Electrical Drives and Instrumentation (0714 02 ECE 3251): Theory course with 3.0 credits. Prerequisite: None.
Third,Second,0714 02 ECE 3252,Electrical Drives and Instrumentation Laboratory,Core,1.0,None,Sessional,Electrical Drives and Instrumentation Laboratory (0714 02 ECE 3252): Sessional course with 1.0 credits. Prerequisite: None.
Third,Second,0413 02 BA 3251,Accounting,Core,2.0,None,Theory,Accounting (0413 02 BA 3251): Theory course with 2.0 credits. Prerequisite: None.
Third,Second,0421 02 Law 3251,Cyber and Intellectual Property Law,Core,2.0,None,Theory,Cyber and Intellectual Property Law (0421 02 Law 3251): Theory course with 2.0 credits. Prerequisite: None.
Third,Second,0313 02 Psy 3251,Engineering Ethics and Environment Protection,Core,2.0,None,Theory,Engineering Ethics and Environment Protection (0313 02 Psy 3251): Theory course with 2.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3221,Simulation and Modeling,Optional,3.0,None,Theory,Simulation and Modeling (0714 02 CSE 3221): Theory course with 3.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3222,Simulation and Modeling Laboratory/Fieldwork,Optional,1.0,None,Sessional,Simulation and Modeling Laboratory/Fieldwork (0714 02 CSE 3222): Sessional course with 1.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3223,Neural Networks and Fuzzy Systems,Optional,3.0,None,Theory,Neural Networks and Fuzzy Systems (0714 02 CSE 3223): Theory course with 3.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3224,Neural Networks and Fuzzy Systems Laboratory/Fieldwork,Optional,1.0,None,Sessional,Neural Networks and Fuzzy Systems Laboratory/Fieldwork (0714 02 CSE 3224): Sessional course with 1.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3225,Digital Image Processing,Optional,3.0,None,Theory,Digital Image Processing (0714 02 CSE 3225): Theory course with 3.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3226,Digital Image Processing Laboratory/Project,Optional,1.0,None,Sessional,Digital Image Processing Laboratory/Project (0714 02 CSE 3226): Sessional course with 1.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3227,Computer Peripherals and Interfacing,Optional,3.0,None,Theory,Computer Peripherals and Interfacing (0714 02 CSE 3227): Theory course with 3.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3228,Computer Peripherals and Interfacing Laboratory/Project,Optional,1.0,None,Sessional,Computer Peripherals and Interfacing Laboratory/Project (0714 02 CSE 3228): Sessional course with 1.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4100,Thesis Proposal,Core,3.0,Completion of minimum 90 credits in previous terms,Theory,Thesis Proposal (0714 02 CSE 4100): Theory course with 3.0 credits. Prerequisite: Completion of minimum 90 credits in previous terms.
Fourth,First,0714 02 CSE 4103,Compiler Design,Core,3.0,None,Theory,Compiler Design (0714 02 CSE 4103): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4104,Compiler Design Laboratory/Project,Core,1.5,None,Practical,Compiler Design Laboratory/Project (0714 02 CSE 4104): Practical course with 1.5 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4105,Computer Graphics,Core,3.0,None,Theory,Computer Graphics (0714 02 CSE 4105): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4106,Computer Graphics Laboratory/Project,Core,1.5,None,Practical,Computer Graphics Laboratory/Project (0714 02 CSE 4106): Practical course with 1.5 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4107,Information Security,Core,3.0,None,Theory,Information Security (0714 02 CSE 4107): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4108,Information Security Laboratory/Project,Core,1.5,None,Practical,Information Security Laboratory/Project (0714 02 CSE 4108): Practical course with 1.5 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4109,Mathematical Analysis for Computer Science,Core,2.0,None,Theory,Mathematical Analysis for Computer Science (0714 02 CSE 4109): Theory course with 2.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4121,Parallel and Distributed Processing,Optional,3.0,None,Theory,Parallel and Distributed Processing (0714 02 CSE 4121): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4123,Machine Learning,Optional,3.0,None,Theory,Machine Learning (0714 02 CSE 4123): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4125,Human Computer Interaction,Optional,3.0,None,Theory,Human Computer Interaction (0714 02 CSE 4125): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4127,Distributed Database System,Optional,3.0,None,Theory,Distributed Database System (0714 02 CSE 4127): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4129,Graph Theory,Optional,3.0,None,Theory,Graph Theory (0714 02 CSE 4129): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4131,Theory of Computation,Optional,3.0,None,Theory,Theory of Computation (0714 02 CSE 4131): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 CSE 4133,Computational Geometry,Optional,3.0,None,Theory,Computational Geometry (0714 02 CSE 4133): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 ECE 4151,VLSI Design and Testability,Optional,3.0,None,Theory,VLSI Design and Testability (0714 02 ECE 4151): Theory course with 3.0 credits. Prerequisite: None.
Fourth,First,0714 02 ECE 4153,Wireless and Optical Networks,Optional,3.0,None,Theory,Wireless and Optical Networks (0714 02 ECE 4153): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4200,Thesis,Core,6.0,None,Project,Thesis (0714 02 CSE 4200): Project course with 6.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4202,Web Programming & Mobile Applications Development,Core,2.25,None,Theory,Web Programming & Mobile Applications Development (0714 02 CSE 4202): Theory course with 2.25 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4204,Viva-Voce,Core,1.5,None,Practical,Viva-Voce (0714 02 CSE 4204): Practical course with 1.5 credits. Prerequisite: None.
Fourth,Second,0413 02 BA 4251,Business Entrepreneurship,Core,2.0,None,Theory,Business Entrepreneurship (0413 02 BA 4251): Theory course with 2.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4221,Pattern Recognition,Optional,3.0,None,Theory,Pattern Recognition (0714 02 CSE 4221): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4222,Pattern Recognition Laboratory/Project,Optional,1.5,None,Practical,Pattern Recognition Laboratory/Project (0714 02 CSE 4222): Practical course with 1.5 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4223,Data Mining,Optional,3.0,None,Theory,Data Mining (0714 02 CSE 4223): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4224,Data Mining Laboratory/Fieldwork,Optional,1.5,None,Practical,Data Mining Laboratory/Fieldwork (0714 02 CSE 4224): Practical course with 1.5 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4225,Digital System Design,Optional,3.0,None,Theory,Digital System Design (0714 02 CSE 4225): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4226,Digital System Design Laboratory/Project,Optional,1.5,None,Practical,Digital System Design Laboratory/Project (0714 02 CSE 4226): Practical course with 1.5 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4227,Client Server Technology,Optional,3.0,None,Theory,Client Server Technology (0714 02 CSE 4227): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4228,Client Server Technology Laboratory/Project,Optional,1.5,None,Practical,Client Server Technology Laboratory/Project (0714 02 CSE 4228): Practical course with 1.5 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4229,Computer Animation and Virtual Reality,Optional,3.0,None,Theory,Computer Animation and Virtual Reality (0714 02 CSE 4229): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4230,Computer Animation and Virtual Reality Laboratory/Project,Optional,1.5,None,Practical,Computer Animation and Virtual Reality Laboratory/Project (0714 02 CSE 4230): Practical course with 1.5 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4231,Real-Time Embedded Systems,Optional,3.0,None,Theory,Real-Time Embedded Systems (0714 02 CSE 4231): Theory course with 3.0 credits. Prerequisite: None.
Fourth,Second,0714 02 CSE 4232,Real-Time Embedded Systems Sessional/Project/Fieldwork,Optional,1.5,None,Practical,Real-Time Embedded Systems Sessional/Project/Fieldwork (0714 02 CSE 4232): Practical course with 1.5 credits. Prerequisite: None.
